0 1:7.630828937395718 2:7.7991879224011464
0 1:43.84092314408935 2:7.234651778309412
1 1:97.79895119966027 2:5.384958704104337
1 1:50.11204636599379 2:0.7205113335976154
0 1:26.843898010187118 2:4.9988250082556
0 1:67.92299961209405 2:8.037390361043755
1 1:38.09411331485384 2:0.6593634690590511
0 1:28.814559930799355 2:9.095935277196137
0 1:21.33853535799155 2:4.521239618176831
1 1:93.12060196890218 2:0.24899227550348013
0 1:60.05489174641225 2:9.501295004136455
0 1:23.03028790209648 2:5.484899192360304
1 1:90.91283748867312 2:1.3316944575925016
0 1:52.341258067376586 2:7.504098591020348
1 1:66.90132408839138 2:4.6775285974498075
0 1:20.48490902977951 2:4.907658890910705
0 1:37.238468938505896 2:4.774011548515884
0 1:36.589038578059295 2:8.379179943092605
1 1:76.86475065195093 2:3.1399467721266214
1 1:57.2625332643954 2:2.760490483306951
1 1:45.28429325464004 2:3.5297836594439467
0 1:28.271972663962153 2:9.209935401312483
1 1:43.334216415378535 2:4.187572256698595
1 1:90.64232691643387 2:1.804516192026816
1 1:74.11188729132643 2:4.223740436431403
0 1:42.64535726849423 2:6.3437986863383875
1 1:52.29062010283453 2:4.148859784394432
1 1:0.14268805627581926 2:0.9226234584675208
0 1:78.1735513540697 2:6.846289239537749
1 1:95.54683230029259 2:6.829138543754175
0 1:5.312869067295756 2:3.0885268486379713
1 1:59.2594687323373 2:2.3512040725746433
1 1:96.49709995361269 2:9.450482237927938
1 1:65.92333202982246 2:6.617097991814964
0 1:13.111064234791392 2:3.087336572978354
0 1:46.2996394154417 2:7.4184720068346675
1 1:48.58252287088967 2:1.3687611879745087
1 1:34.35365297043583 2:3.24426169672443
0 1:78.58166930489345 2:9.513361410416794
0 1:25.795460081190356 2:5.198816863812533
1 1:86.81035473673843 2:4.5936149002902305
0 1:11.000553116671952 2:7.990021540091455
1 1:49.79191116041611 2:1.9717547055273321
1 1:87.60751098430084 2:2.68174469017322
0 1:23.693823844683028 2:3.725929400002339
1 1:38.59036734444131 2:2.3309063520852105
0 1:17.57793858406018 2:3.9850578991504184
0 1:84.16296403642562 2:7.867305923905094
0 1:6.925207000983546 2:3.5707062835287893
1 1:81.28295501637062 2:4.277048330275505
0 1:59.98544375434464 2:7.281612831471338
0 1:82.12276083065595 2:7.605151199802831
0 1:17.84257547576489 2:3.920015578205601
1 1:93.95927567444704 2:2.1291857616187726
1 1:81.329627042838 2:4.036485763523965
1 1:58.67209206656312 2:1.8599888777842999
1 1:81.23225139858623 2:5.808474098083257
0 1:44.693254033084195 2:7.980814071303504
1 1:54.42718533788814 2:4.1841659076157
0 1:1.9156662987397155 2:6.837737251592846
1 1:48.80979212647244 2:2.2057966539744136
1 1:55.05430459749054 2:5.22591106408385
1 1:27.425859319442125 2:1.6910106336538333
0 1:87.67009301816353 2:9.091824637608486
0 1:62.9556934844924 2:9.099728965702067
1 1:96.2519488076457 2:5.850998026749141
0 1:16.489774484164233 2:3.915933207261223
1 1:94.45549290605942 2:3.433911812656868
1 1:70.50703692103087 2:4.6288679749916355
0 1:38.67906913747701 2:5.284325558302272
1 1:82.16899186984934 2:6.384770226599025
1 1:86.28887240858546 2:6.366265352777115
1 1:99.92970602452037 2:5.17780076896547
1 1:32.76166446260802 2:0.987732367743066
1 1:56.676640461810265 2:2.1520793684838124
0 1:1.1790786611630355 2:2.992153237809344
0 1:3.89774292152949 2:9.762138220787266
1 1:55.14530838324122 2:0.7171621047437426
0 1:34.00678182140956 2:2.4290239407571756
0 1:77.14423445636822 2:8.66199034084391
0 1:18.76427372740743 2:9.126526864163802
1 1:86.11482625573517 2:3.988982310683994
1 1:54.6336435680333 2:4.503754445218552
0 1:3.0439266665623133 2:6.725610295221127
0 1:7.133968725720729 2:3.6078049378522117
1 1:41.80995426775659 2:1.8140428905736694
1 1:52.10141032821763 2:5.3499176092791565
0 1:50.977649343824424 2:6.890371677294552
0 1:57.342800641438515 2:7.701183211394475
0 1:39.30482520042071 2:9.585899502507289
1 1:97.80518704556614 2:2.06881141871911
0 1:47.600130071399164 2:7.901634601465308
0 1:12.793637240433009 2:8.269942436447636
0 1:23.7435916634777 2:9.405656270817435
1 1:82.06581914618846 2:0.5175957368695094
0 1:0.18546480695033063 2:1.7697244581297866
0 1:53.84258385893222 2:5.38016185623894
0 1:74.48236736818096 2:9.462759271724279
1 1:60.35595516954865 2:2.8757994211990026
1 1:67.23692184292864 2:7.1204878678139485
